Vehicle Type,State,Postcode,Fuel Type,2021-01-31,2022-01-31,2023-01-31
Passenger,NSW,2014,Petrol,0.0,0.0,3.0
Passenger,NSW,2015,Petrol,6017.0,6589.0,6814.0
Passenger,NSW,2015,Diesel,743.0,836.0,855.0
Passenger,NSW,2015,Dual fuel,10.0,6.0,6.0
Passenger,NSW,2015,Hybrid electric,265.0,411.0,573.0
Passenger,NSW,2015,Electric,85.0,77.0,128.0
Passenger,NSW,2015,Other,11.0,8.0,6.0
Passenger,NSW,2016,Petrol,4243.0,4302.0,4266.0
Passenger,NSW,2016,Diesel,489.0,502.0,484.0
Passenger,NSW,2016,Dual fuel,3.0,4.0,4.0
Passenger,NSW,2016,Hybrid electric,83.0,93.0,143.0
Passenger,NSW,2016,Electric,9.0,20.0,33.0
Passenger,NSW,2016,Other,11.0,6.0,5.0
Passenger,NSW,2017,Petrol,9816.0,9988.0,10093.0
Passenger,NSW,2017,Diesel,1306.0,1255.0,1295.0
Passenger,NSW,2017,Dual fuel,14.0,15.0,9.0
Passenger,NSW,2017,Hybrid electric,341.0,377.0,459.0
Passenger,NSW,2017,Electric,68.0,71.0,143.0
Passenger,NSW,2017,Other,8.0,15.0,7.0
Passenger,NSW,2018,Petrol,7777.0,7918.0,7909.0
Passenger,NSW,2018,Diesel,705.0,717.0,751.0
Passenger,NSW,2018,Dual fuel,16.0,13.0,11.0
Passenger,NSW,2018,Hybrid electric,179.0,271.0,314.0
Passenger,NSW,2018,Electric,13.0,26.0,60.0
Passenger,NSW,2018,Other,30.0,23.0,22.0
Passenger,NSW,2019,Petrol,6896.0,7052.0,7094.0
Passenger,NSW,2019,Diesel,791.0,824.0,867.0
Passenger,NSW,2019,Dual fuel,12.0,12.0,10.0
Passenger,NSW,2019,Hybrid electric,123.0,156.0,196.0
Passenger,NSW,2019,Electric,11.0,21.0,41.0
Passenger,NSW,2019,Other,14.0,10.0,9.0
Passenger,NSW,2020,Petrol,15143.0,15726.0,17826.0
Passenger,NSW,2020,Diesel,1221.0,1380.0,2070.0
Passenger,NSW,2020,Dual fuel,15.0,14.0,12.0
Passenger,NSW,2020,Hybrid electric,836.0,1059.0,1857.0
Passenger,NSW,2020,Electric,18.0,52.0,196.0
Passenger,NSW,2020,Other,20.0,25.0,17.0
Passenger,NSW,2021,Petrol,6048.0,6055.0,6016.0
Passenger,NSW,2021,Diesel,968.0,885.0,839.0
Passenger,NSW,2021,Dual fuel,3.0,4.0,4.0
Passenger,NSW,2021,Hybrid electric,139.0,166.0,193.0
Passenger,NSW,2021,Electric,41.0,66.0,114.0
Passenger,NSW,2021,Other,6.0,3.0,0.0
Passenger,NSW,2022,Petrol,5249.0,5265.0,5283.0
Passenger,NSW,2022,Diesel,690.0,726.0,725.0
Passenger,NSW,2022,Dual fuel,3.0,3.0,3.0
Passenger,NSW,2022,Hybrid electric,114.0,142.0,184.0
Passenger,NSW,2022,Electric,30.0,46.0,73.0
Passenger,NSW,2022,Other,0.0,3.0,4.0
Passenger,NSW,2023,Petrol,4767.0,4695.0,4691.0
Passenger,NSW,2023,Diesel,784.0,748.0,713.0
Passenger,NSW,2023,Dual fuel,3.0,0.0,3.0
Passenger,NSW,2023,Hybrid electric,153.0,194.0,211.0
Passenger,NSW,2023,Electric,56.0,89.0,149.0
Passenger,NSW,2023,Other,3.0,3.0,0.0
Passenger,NSW,2024,Petrol,4559.0,4470.0,4413.0
Passenger,NSW,2024,Diesel,748.0,742.0,724.0
Passenger,NSW,2024,Dual fuel,7.0,7.0,5.0
Passenger,NSW,2024,Hybrid electric,111.0,133.0,156.0
Passenger,NSW,2024,Electric,35.0,56.0,82.0
Passenger,NSW,2024,Other,4.0,6.0,4.0
Passenger,NSW,2025,Petrol,3267.0,3231.0,3162.0
Passenger,NSW,2025,Diesel,522.0,516.0,486.0
Passenger,NSW,2025,Dual fuel,0.0,0.0,0.0
Passenger,NSW,2025,Hybrid electric,84.0,97.0,107.0
Passenger,NSW,2025,Electric,39.0,58.0,87.0
Passenger,NSW,2026,Petrol,12466.0,12354.0,12301.0
Passenger,NSW,2026,Diesel,1841.0,1805.0,1774.0
Passenger,NSW,2026,Dual fuel,25.0,18.0,17.0
Passenger,NSW,2026,Hybrid electric,254.0,290.0,352.0
Passenger,NSW,2026,Electric,56.0,110.0,209.0
Passenger,NSW,2026,Other,19.0,11.0,10.0
Passenger,NSW,2027,Petrol,3926.0,3830.0,3779.0
Passenger,NSW,2027,Diesel,581.0,536.0,506.0
Passenger,NSW,2027,Dual fuel,3.0,3.0,5.0
Passenger,NSW,2027,Hybrid electric,133.0,146.0,167.0
Passenger,NSW,2027,Electric,35.0,60.0,91.0
Passenger,NSW,2027,Other,3.0,3.0,3.0
Passenger,NSW,2028,Petrol,2443.0,2404.0,2381.0
Passenger,NSW,2028,Diesel,369.0,365.0,357.0
Passenger,NSW,2028,Dual fuel,0.0,3.0,0.0
Passenger,NSW,2028,Hybrid electric,74.0,84.0,99.0
Passenger,NSW,2028,Electric,17.0,29.0,47.0
Passenger,NSW,2028,Other,0.0,3.0,3.0
Passenger,NSW,2029,Petrol,4659.0,4652.0,4671.0
Passenger,NSW,2029,Diesel,568.0,543.0,554.0
Passenger,NSW,2029,Dual fuel,0.0,3.0,0.0
Passenger,NSW,2029,Hybrid electric,143.0,172.0,186.0
Passenger,NSW,2029,Electric,36.0,49.0,81.0
Passenger,NSW,2030,Petrol,7412.0,7224.0,7171.0
Passenger,NSW,2030,Diesel,1191.0,1145.0,1127.0
Passenger,NSW,2030,Dual fuel,3.0,3.0,3.0
Passenger,NSW,2030,Hybrid electric,214.0,271.0,307.0
Passenger,NSW,2030,Electric,112.0,180.0,244.0
Passenger,NSW,2030,Other,3.0,3.0,3.0
Passenger,NSW,2031,Petrol,13397.0,13261.0,13101.0
Passenger,NSW,2031,Diesel,1508.0,1519.0,1492.0
Passenger,NSW,2031,Dual fuel,13.0,13.0,14.0
Passenger,NSW,2031,Hybrid electric,270.0,349.0,404.0
Passenger,NSW,2031,Electric,40.0,82.0,145.0
Passenger,NSW,2031,Other,8.0,7.0,6.0
Passenger,NSW,2032,Petrol,5165.0,5417.0,5329.0
Passenger,NSW,2032,Diesel,462.0,480.0,491.0
Passenger,NSW,2032,Dual fuel,11.0,9.0,9.0
Passenger,NSW,2032,Hybrid electric,127.0,146.0,183.0
Passenger,NSW,2032,Electric,7.0,19.0,32.0
Passenger,NSW,2032,Other,13.0,10.0,10.0
Passenger,NSW,2033,Petrol,4147.0,4242.0,4172.0
Passenger,NSW,2033,Diesel,426.0,424.0,427.0
Passenger,NSW,2033,Dual fuel,5.0,4.0,4.0
Passenger,NSW,2033,Hybrid electric,120.0,144.0,160.0
Passenger,NSW,2033,Electric,14.0,20.0,33.0
Passenger,NSW,2033,Other,8.0,9.0,8.0
Passenger,NSW,2034,Petrol,8655.0,8594.0,8378.0
Passenger,NSW,2034,Diesel,1003.0,994.0,1035.0
Passenger,NSW,2034,Dual fuel,6.0,6.0,8.0
Passenger,NSW,2034,Hybrid electric,167.0,204.0,241.0
Passenger,NSW,2034,Electric,35.0,63.0,110.0
Passenger,NSW,2034,Other,6.0,4.0,6.0
Passenger,NSW,2035,Petrol,15335.0,15167.0,15028.0
Passenger,NSW,2035,Diesel,1624.0,1628.0,1668.0
Passenger,NSW,2035,Dual fuel,23.0,18.0,10.0
Passenger,NSW,2035,Hybrid electric,347.0,448.0,554.0
Passenger,NSW,2035,Electric,37.0,58.0,118.0
Passenger,NSW,2035,Other,36.0,32.0,26.0
Passenger,NSW,2036,Petrol,14745.0,15009.0,15110.0
Passenger,NSW,2036,Diesel,1620.0,1694.0,1759.0
Passenger,NSW,2036,Dual fuel,28.0,24.0,24.0
Passenger,NSW,2036,Hybrid electric,290.0,363.0,447.0
Passenger,NSW,2036,Electric,24.0,47.0,102.0
Passenger,NSW,2036,Other,29.0,26.0,28.0
Passenger,NSW,2037,Petrol,6128.0,6182.0,6138.0
Passenger,NSW,2037,Diesel,616.0,594.0,643.0
Passenger,NSW,2037,Dual fuel,6.0,7.0,8.0
Passenger,NSW,2037,Hybrid electric,190.0,246.0,273.0
Passenger,NSW,2037,Electric,25.0,39.0,66.0
Passenger,NSW,2037,Other,7.0,7.0,4.0
Passenger,NSW,2038,Petrol,3862.0,3889.0,3879.0
Passenger,NSW,2038,Diesel,469.0,469.0,486.0
Passenger,NSW,2038,Dual fuel,5.0,4.0,6.0
Passenger,NSW,2038,Hybrid electric,119.0,132.0,159.0
Passenger,NSW,2038,Electric,13.0,23.0,43.0
Passenger,NSW,2038,Other,4.0,3.0,3.0
Passenger,NSW,2039,Petrol,4116.0,4131.0,4038.0
Passenger,NSW,2039,Diesel,691.0,639.0,648.0
Passenger,NSW,2039,Dual fuel,3.0,0.0,3.0
Passenger,NSW,2039,Hybrid electric,93.0,113.0,133.0
Passenger,NSW,2039,Electric,4.0,17.0,44.0
Passenger,NSW,2039,Other,3.0,3.0,0.0
Passenger,NSW,2040,Petrol,10018.0,10049.0,10105.0
Passenger,NSW,2040,Diesel,1621.0,1523.0,1488.0
Passenger,NSW,2040,Dual fuel,16.0,11.0,11.0
Passenger,NSW,2040,Hybrid electric,189.0,345.0,373.0
Passenger,NSW,2040,Electric,15.0,37.0,91.0
Passenger,NSW,2040,Other,12.0,11.0,10.0
Passenger,NSW,2041,Petrol,6977.0,6817.0,6717.0
Passenger,NSW,2041,Diesel,1082.0,1058.0,1003.0
Passenger,NSW,2041,Dual fuel,6.0,4.0,6.0
Passenger,NSW,2041,Hybrid electric,185.0,247.0,289.0
Passenger,NSW,2041,Electric,21.0,56.0,104.0
Passenger,NSW,2041,Other,5.0,6.0,6.0
Passenger,NSW,2042,Petrol,6121.0,6215.0,6159.0
Passenger,NSW,2042,Diesel,536.0,528.0,509.0
Passenger,NSW,2042,Dual fuel,4.0,4.0,3.0
Passenger,NSW,2042,Hybrid electric,105.0,156.0,188.0
Passenger,NSW,2042,Electric,9.0,21.0,45.0
Passenger,NSW,2042,Other,12.0,8.0,6.0
Passenger,NSW,2043,Petrol,3157.0,3338.0,3398.0
Passenger,NSW,2043,Diesel,264.0,269.0,281.0
Passenger,NSW,2043,Dual fuel,5.0,6.0,3.0
Passenger,NSW,2043,Hybrid electric,62.0,82.0,108.0
Passenger,NSW,2043,Electric,8.0,14.0,34.0
Passenger,NSW,2043,Other,4.0,4.0,0.0
Passenger,NSW,2044,Petrol,3585.0,3730.0,3788.0
Passenger,NSW,2044,Diesel,411.0,398.0,367.0
Passenger,NSW,2044,Dual fuel,7.0,7.0,7.0
Passenger,NSW,2044,Hybrid electric,474.0,441.0,516.0
Passenger,NSW,2044,Electric,8.0,13.0,31.0
Passenger,NSW,2044,Other,8.0,0.0,4.0
Passenger,NSW,2045,Petrol,3195.0,3215.0,3222.0
