,State,Vehicle Type,Fuel Type,2020-09,2020-12,2021-03,2021-06,2022-06,2022-09,2022-12,2023-03,2023-06,2023-09
53,QLD,Passenger,Petrol,3399.0,3098.0,3462.0,4286.0,2741.0,2673.0,2066.0,2601.0,2752.0,2377.0
54,QLD,SUV,Diesel,1741.0,2731.0,2392.0,2874.0,2873.0,1941.0,2184.0,2351.0,2600.0,2700.0
55,QLD,SUV,Electric,6.0,27.0,38.0,76.0,105.0,1158.0,599.0,758.0,1876.0,1218.0
56,QLD,SUV,Hybrid,432.0,607.0,787.0,823.0,864.0,689.0,1078.0,957.0,1399.0,1163.0
57,QLD,SUV,PHEV,22.0,42.0,56.0,45.0,110.0,104.0,106.0,108.0,139.0,272.0
58,QLD,SUV,Petrol,5502.0,7168.0,7681.0,8001.0,7077.0,6734.0,7113.0,7309.0,8892.0,7512.0
62,SA,Light Commercial,Diesel,1093.0,1330.0,1276.0,1644.0,1459.0,1382.0,1006.0,1345.0,1591.0,1644.0
63,SA,Light Commercial,Petrol,83.0,96.0,80.0,75.0,118.0,93.0,93.0,106.0,155.0,204.0
64,SA,Passenger,Diesel,22.0,13.0,42.0,41.0,90.0,98.0,50.0,59.0,60.0,90.0
65,SA,Passenger,Electric,4.0,6.0,13.0,16.0,23.0,97.0,100.0,151.0,108.0,96.0
66,SA,Passenger,Hybrid,172.0,211.0,259.0,133.0,139.0,153.0,191.0,147.0,219.0,193.0
67,SA,Passenger,PHEV,0.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0
68,SA,Passenger,Petrol,997.0,951.0,1024.0,1092.0,838.0,869.0,594.0,886.0,894.0,597.0
69,SA,SUV,Diesel,499.0,883.0,677.0,766.0,805.0,605.0,656.0,607.0,682.0,760.0
70,SA,SUV,Electric,2.0,4.0,8.0,19.0,41.0,164.0,154.0,207.0,506.0,258.0
71,SA,SUV,Hybrid,286.0,264.0,370.0,277.0,219.0,231.0,367.0,343.0,493.0,382.0
72,SA,SUV,PHEV,4.0,10.0,23.0,21.0,22.0,24.0,22.0,32.0,50.0,78.0
73,SA,SUV,Petrol,1849.0,2203.0,2388.0,2378.0,2135.0,2038.0,2123.0,2409.0,2812.0,2133.0
74,SA,Light Commercial,Electric,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0
77,TAS,Light Commercial,Diesel,335.0,473.0,481.0,591.0,415.0,434.0,408.0,404.0,449.0,438.0
78,TAS,Light Commercial,Petrol,31.0,26.0,49.0,47.0,53.0,51.0,51.0,23.0,61.0,52.0
79,TAS,Passenger,Diesel,9.0,10.0,14.0,8.0,14.0,22.0,6.0,14.0,8.0,12.0
80,TAS,Passenger,Electric,6.0,2.0,4.0,9.0,16.0,40.0,16.0,66.0,24.0,28.0
81,TAS,Passenger,Hybrid,23.0,96.0,38.0,16.0,15.0,17.0,9.0,15.0,26.0,21.0
82,TAS,Passenger,PHEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,TAS,Passenger,Petrol,182.0,330.0,196.0,341.0,166.0,174.0,234.0,198.0,206.0,239.0
84,TAS,SUV,Diesel,96.0,166.0,179.0,170.0,195.0,143.0,145.0,134.0,149.0,180.0
85,TAS,SUV,Electric,6.0,2.0,4.0,16.0,20.0,46.0,59.0,108.0,130.0,87.0
86,TAS,SUV,Hybrid,58.0,37.0,64.0,58.0,72.0,71.0,54.0,60.0,113.0,98.0
87,TAS,SUV,PHEV,1.0,1.0,4.0,2.0,10.0,12.0,4.0,13.0,9.0,25.0
88,TAS,SUV,Petrol,464.0,756.0,525.0,561.0,515.0,542.0,625.0,523.0,629.0,714.0
91,TAS,Light Commercial,Electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,VIC,Light Commercial,Diesel,2565.0,5503.0,5204.0,6752.0,4677.0,4872.0,4303.0,4565.0,6257.0,4888.0
93,VIC,Light Commercial,Electric,0.0,1.0,0.0,7.0,2.0,1.0,0.0,3.0,5.0,5.0
94,VIC,Light Commercial,Petrol,173.0,386.0,398.0,614.0,578.0,680.0,544.0,534.0,954.0,695.0
95,VIC,Passenger,Diesel,76.0,128.0,218.0,119.0,342.0,289.0,259.0,237.0,282.0,272.0
96,VIC,Passenger,Electric,31.0,16.0,64.0,50.0,137.0,498.0,1070.0,658.0,794.0,421.0
97,VIC,Passenger,Hybrid,179.0,579.0,553.0,505.0,454.0,359.0,385.0,233.0,561.0,619.0
98,VIC,Passenger,PHEV,9.0,22.0,11.0,15.0,15.0,14.0,7.0,7.0,14.0,12.0
99,VIC,Passenger,Petrol,1917.0,5082.0,4538.0,5839.0,3927.0,3729.0,3049.0,3268.0,4243.0,2889.0
100,VIC,SUV,Diesel,968.0,2545.0,2489.0,2643.0,3170.0,2076.0,2481.0,2306.0,2826.0,3065.0
101,VIC,SUV,Electric,6.0,27.0,38.0,94.0,152.0,1509.0,885.0,1188.0,2752.0,1754.0
102,VIC,SUV,Hybrid,519.0,796.0,803.0,987.0,1113.0,685.0,1428.0,754.0,1812.0,2070.0
103,VIC,SUV,PHEV,9.0,43.0,52.0,70.0,126.0,136.0,100.0,130.0,187.0,256.0
104,VIC,SUV,Petrol,3273.0,10249.0,10451.0,10401.0,9671.0,9383.0,8327.0,9047.0,11494.0,11306.0
105,VIC,Passenger,Hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
109,WA,Light Commercial,Diesel,1835.0,2429.0,2293.0,2712.0,2378.0,2037.0,1898.0,2239.0,3137.0,2466.0
110,WA,Light Commercial,Electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0
111,WA,Light Commercial,Petrol,102.0,128.0,156.0,194.0,234.0,182.0,151.0,173.0,387.0,193.0
112,WA,Passenger,Diesel,32.0,18.0,59.0,46.0,123.0,87.0,79.0,68.0,65.0,115.0
113,WA,Passenger,Electric,8.0,11.0,29.0,11.0,39.0,167.0,337.0,62.0,318.0,355.0
114,WA,Passenger,Hybrid,201.0,172.0,246.0,145.0,282.0,220.0,162.0,164.0,332.0,237.0
115,WA,Passenger,PHEV,3.0,3.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,3.0
116,WA,Passenger,Petrol,1700.0,1325.0,1636.0,1611.0,1191.0,1127.0,968.0,1172.0,1106.0,1024.0
117,WA,SUV,Diesel,859.0,1411.0,1101.0,1292.0,1330.0,920.0,1081.0,994.0,1465.0,1108.0
118,WA,SUV,Electric,10.0,7.0,6.0,37.0,45.0,451.0,210.0,302.0,860.0,500.0
119,WA,SUV,Hybrid,312.0,377.0,348.0,292.0,526.0,238.0,451.0,461.0,647.0,589.0
120,WA,SUV,PHEV,8.0,15.0,12.0,20.0,45.0,30.0,31.0,42.0,80.0,140.0
121,WA,SUV,Petrol,2460.0,2849.0,3222.0,3195.0,3093.0,2799.0,2840.0,3989.0,3966.0,3460.0
