State,Vehicle Type,Fuel Type,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
WA,Passenger,Diesel,388.0,356.0,348.0,318.0,444.0,546.0,544.0,519.0,620.0,766.0,772.0,780.0,1280.0,994.0,1121.3333333333333
WA,Passenger,Electric,0.0,0.0,84.0,99.0,164.0,164.0,148.0,146.0,1724.0,1052.0,1232.0,1360.0,3108.0,2484.0,2632.0
WA,Passenger,Hybrid,2488.0,2064.0,2148.0,2249.0,2620.0,2654.0,3052.0,2782.0,2728.0,2798.0,2621.3333333333335,2579.0,1984.0,2570.0,3060.0
WA,Passenger,PHEV,0.0,0.0,22.666666666666664,24.0,20.0,18.0,18.666666666666668,22.0,28.0,18.0,17.333333333333332,19.0,40.0,34.0,37.333333333333336
WA,Passenger,Petrol,16868.0,14996.0,15761.333333333332,15898.0,18128.0,18106.0,17805.333333333336,16751.0,12468.0,12936.0,13157.333333333332,12971.0,12332.0,13374.0,13449.333333333334
WA,SUV,Diesel,10040.0,10286.0,9864.0,11336.0,12832.0,14904.0,14297.333333333332,12966.0,12668.0,13944.0,13426.666666666668,13577.0,12756.0,13954.0,14148.0
WA,SUV,Electric,0.0,0.0,72.0,75.0,80.0,148.0,204.0,239.0,452.0,572.0,1140.0,1714.0,2972.0,5494.0,5401.333333333333
WA,SUV,Hybrid,2200.0,1970.0,3198.6666666666665,3483.0,3592.0,4194.0,4109.333333333334,3898.0,4984.0,5134.0,4606.666666666667,4824.0,5384.0,5976.0,6452.0
WA,SUV,PHEV,0.0,0.0,84.0,104.0,124.0,162.0,214.66666666666669,245.0,264.0,372.0,402.6666666666667,392.0,512.0,660.0,820.0
WA,SUV,Petrol,28508.0,26540.0,27586.666666666664,29556.0,36072.0,38430.0,37937.33333333333,35294.0,36512.0,35190.0,34172.0,34225.0,38580.0,39708.0,40238.666666666664
